date,name,item,amount,category
2025-01-11,Grace,Train Ticket,136.32,Transport
2025-03-17,Eve,Netflix,137.73,Entertainment
2025-03-02,David,Pharmacy,77.05,Health
2025-01-22,Frank,Utility Bill,503.91,Housing
2025-01-09,Ivan,Whole Foods,90.94,Food
2025-03-02,Charlie,Best Buy,430.09,Electronics
2025-02-04,Judy,Train Ticket,82.93,Transport
2025-01-06,Grace,Home Depot,2198.24,Housing
2025-03-19,Eve,Netflix,80.13,Entertainment
2025-01-11,Eve,Train Ticket,59.86,Transport
2025-03-16,David,Netflix,131.18,Entertainment
2025-03-01,Grace,Train Ticket,95.28,Transport
2025-02-07,Charlie,McDonalds,17.85,Food
2025-01-29,Judy,Train Ticket,140.41,Transport
2025-02-24,Heidi,Utility Bill,2135.03,Housing
2025-01-08,David,Home Depot,634.79,Housing
2025-01-22,Frank,Gym Membership,39.59,Health
2025-03-24,Bob,Netflix,73.11,Entertainment
2025-01-04,Bob,Doctor Visit,82.85,Health
2025-02-12,David,Gym Membership,60.43,Health
2025-01-08,Eve,Pharmacy,102.38,Health
2025-01-04,Alice,Steam,91.2,Entertainment
2025-01-30,Bob,Gym Membership,26.34,Health
2025-01-15,Alice,Best Buy,1455.95,Electronics
2025-03-29,Judy,Internet,1292.92,Housing
2025-01-22,Ivan,Parking,115.21,Transport
2025-03-01,Alice,Utility Bill,1742.8,Housing
2025-01-01,Charlie,Apple Store,1321.3,Electronics
2025-02-26,Judy,Gym Membership,107.58,Health
2025-01-22,Eve,Lyft,47.76,Transport
2025-03-18,Charlie,Starbucks,53.22,Food
2025-02-28,David,Pharmacy,23.16,Health
2025-03-28,David,Chipotle,25.2,Food
2025-03-17,Judy,Train Ticket,32.18,Transport
2025-03-29,Eve,Concert Ticket,64.05,Entertainment
2025-02-21,Eve,Gym Membership,75.23,Health
2025-03-23,David,Utility Bill,1917.51,Housing
2025-02-03,Judy,Best Buy,549.79,Electronics
2025-03-29,Bob,Newegg,741.48,Electronics
2025-02-21,David,Sweetgreen,19.14,Food
2025-02-01,Frank,Concert Ticket,41.39,Entertainment
2025-03-17,Judy,Grocery Store,7.12,Food
2025-01-09,Charlie,Uber,47.81,Transport
2025-02-21,Judy,Train Ticket,34.3,Transport
2025-02-12,Charlie,Amazon - Headphones,1285.28,Electronics
2025-01-26,Judy,Spotify,124.78,Entertainment
2025-03-24,Alice,Gym Membership,121.13,Health
2025-03-07,Frank,Uber,141.7,Transport
2025-02-27,Charlie,Uber,63.27,Transport
2025-02-08,Frank,Newegg,1015.69,Electronics
2025-03-01,Alice,McDonalds,90.73,Food
2025-02-08,Judy,Concert Ticket,84.37,Entertainment
2025-01-27,Heidi,Netflix,85.76,Entertainment
2025-03-07,Alice,Chipotle,137.51,Food
2025-03-29,Alice,Whole Foods,30.39,Food
2025-01-01,Heidi,Spotify,88.16,Entertainment
2025-01-12,Bob,Gym Membership,38.01,Health
2025-01-24,Bob,Monthly Rent,2408.89,Housing
2025-03-22,Frank,Gym Membership,21.7,Health
2025-03-04,Frank,Newegg,857.72,Electronics
2025-03-24,Eve,Grocery Store,54.54,Food
2025-01-20,Heidi,Spotify,9.7,Entertainment
2025-02-01,David,Lyft,38.42,Transport
2025-02-02,Charlie,Parking,19.22,Transport
2025-02-18,Heidi,Pharmacy,95.89,Health
2025-02-06,Eve,Chipotle,138.3,Food
2025-01-13,Heidi,Doctor Visit,93.41,Health
2025-03-18,Grace,Movie Theater,114.86,Entertainment
2025-01-13,Charlie,Apple Store,837.54,Electronics
2025-03-20,David,Train Ticket,83.05,Transport
2025-03-18,Ivan,Monthly Rent,877.95,Housing
2025-02-11,Heidi,Internet,1562.23,Housing
2025-01-26,Frank,Gym Membership,38.55,Health
2025-03-24,Judy,Newegg,996.95,Electronics
2025-03-15,Frank,Internet,2454.73,Housing
2025-03-13,Judy,Uber,43.22,Transport
2025-03-20,Judy,Apple Store,939.61,Electronics
2025-02-15,Eve,Starbucks,135.43,Food
2025-03-07,Ivan,Utility Bill,1147.1,Housing
2025-01-31,Heidi,Sweetgreen,148.69,Food
2025-01-14,Ivan,Newegg,83.14,Electronics
2025-01-16,Bob,Concert Ticket,102.19,Entertainment
2025-03-09,Ivan,Grocery Store,40.57,Food
2025-01-15,Grace,Sweetgreen,39.78,Food
2025-01-16,Judy,Doctor Visit,127.99,Health
2025-03-21,Eve,Best Buy,44.6,Electronics
2025-01-14,Heidi,Spotify,51.85,Entertainment
2025-01-24,Bob,Pharmacy,117.79,Health
2025-03-13,Frank,Newegg,432.27,Electronics
2025-01-28,David,Movie Theater,125.79,Entertainment
2025-03-31,David,Whole Foods,13.86,Food
2025-01-27,Frank,Newegg,330.29,Electronics
2025-02-19,Ivan,Grocery Store,32.44,Food
2025-01-15,Judy,Doctor Visit,12.62,Health
2025-01-22,Bob,Spotify,93.39,Entertainment
2025-03-31,Alice,Monthly Rent,2197.73,Housing
2025-01-29,Ivan,McDonalds,129.06,Food
2025-03-09,Eve,Train Ticket,53.81,Transport
2025-01-18,Ivan,Grocery Store,112.59,Food
2025-02-16,Alice,Chipotle,142.15,Food
2025-01-10,Judy,Best Buy,1204.0,Electronics
2025-03-04,Grace,Netflix,139.77,Entertainment
2025-03-01,Frank,Pharmacy,140.5,Health
2025-01-21,Eve,Amazon - Headphones,442.79,Electronics
2025-03-19,Frank,Movie Theater,76.87,Entertainment
2025-02-24,Heidi,McDonalds,35.33,Food
2025-03-07,Grace,Starbucks,126.29,Food
2025-03-04,David,Uber,87.48,Transport
2025-02-26,Frank,Pharmacy,51.72,Health
2025-02-12,Grace,Doctor Visit,71.77,Health
2025-03-19,Charlie,Apple Store,1312.72,Electronics
2025-01-22,Eve,Apple Store,1038.99,Electronics
2025-02-04,Grace,Newegg,172.58,Electronics
2025-03-15,David,Movie Theater,37.45,Entertainment
2025-03-02,Charlie,Grocery Store,87.77,Food
2025-02-12,Charlie,Train Ticket,100.11,Transport
2025-01-07,Eve,McDonalds,71.14,Food
2025-01-08,Bob,Gym Membership,15.59,Health
2025-01-29,David,Home Depot,2421.11,Housing
2025-02-04,Alice,Apple Store,546.25,Electronics
